timestamp,user_id,heart_rate,hrv_sdnn,skin_temp,resp_rate,spo2,strain_score,recovery_score,sleep_stage,activity_level
2026-08-01T00:00:00Z,ATH_001,51.6,95.1,36.59,13.5,98.3,18.5,92,light_sleep,resting
2026-08-01T00:01:00Z,ATH_001,46.3,100.0,36.41,12.7,98.5,18.5,92,light_sleep,resting
2026-08-01T00:02:00Z,ATH_001,50.9,93.5,36.63,12.3,98.5,18.5,92,light_sleep,resting
2026-08-01T00:03:00Z,ATH_001,47.8,96.0,36.55,13.0,98.9,18.5,92,light_sleep,resting
2026-08-01T00:04:00Z,ATH_001,50.3,98.5,36.46,12.7,98.9,18.5,92,light_sleep,resting
2026-08-01T00:05:00Z,ATH_001,51.5,96.3,36.65,12.9,98.6,18.5,92,light_sleep,resting
2026-08-01T00:06:00Z,ATH_001,54.2,95.7,36.5,13.5,98.8,18.5,92,light_sleep,resting
2026-08-01T00:07:00Z,ATH_001,52.4,91.0,36.41,13.3,98.5,18.5,92,light_sleep,resting
2026-08-01T00:08:00Z,ATH_001,49.2,92.3,36.37,12.9,98.7,18.5,92,light_sleep,resting
2026-08-01T00:09:00Z,ATH_001,55.0,96.4,36.54,13.3,98.7,18.5,92,light_sleep,resting
2026-08-01T00:10:00Z,ATH_001,49.4,93.3,36.48,12.4,98.8,18.5,92,light_sleep,resting
2026-08-01T00:11:00Z,ATH_001,55.1,96.1,36.44,14.0,99.0,18.5,92,light_sleep,resting
2026-08-01T00:12:00Z,ATH_001,51.4,94.3,36.53,14.5,98.8,18.5,92,light_sleep,resting
2026-08-01T00:13:00Z,ATH_001,52.4,94.6,36.58,12.7,98.7,18.5,92,light_sleep,resting
2026-08-01T00:14:00Z,ATH_001,53.8,89.0,36.59,12.6,98.1,18.5,92,light_sleep,resting
2026-08-01T00:15:00Z,ATH_001,49.9,94.6,36.61,13.1,98.3,18.5,92,light_sleep,resting
2026-08-01T00:16:00Z,ATH_001,48.7,91.7,36.55,12.3,98.8,18.5,92,light_sleep,resting
2026-08-01T00:17:00Z,ATH_001,50.4,93.6,36.45,13.7,98.9,18.5,92,light_sleep,resting
2026-08-01T00:18:00Z,ATH_001,48.6,96.7,36.47,12.6,98.4,18.5,92,light_sleep,resting
2026-08-01T00:19:00Z,ATH_001,46.0,97.8,36.4,12.9,98.6,18.5,92,light_sleep,resting
2026-08-01T00:20:00Z,ATH_001,53.7,95.1,36.54,13.4,98.6,18.5,92,light_sleep,resting
