date,hrv,rhr,recovery,respiratory_rate,skin_temp_deviation,sleep_efficiency,sleep_performance,sleep_hours,day_strain,steps,wake_ups
2026-07-04,32,72,57,15.2,0,82,80,6.7,3.8,1868,3
2026-07-05,34,72,49,15.4,-0.2,80,79,7,6.1,2490,3
2026-07-06,32,74,49,15.5,-0.1,80,78,6.3,5.5,2699,2
2026-07-07,27,72,44,14.6,-0.1,80,76,6.2,9.3,2624,2
2026-07-08,31,73,50,14.8,0.2,81,79,5.9,5.3,2922,2
2026-07-09,31,73,50,15.4,0,81,80,6.3,5.7,2666,2
2026-07-10,24,69,40,15.6,0.1,79,79,6.1,10.8,2629,2
2026-07-11,33,71,50,14.4,-0.1,82,79,7.3,5.6,1989,2
2026-07-12,32,73,50,15.1,0,84,83,6.6,6.6,2106,2
2026-07-13,22,72,49,15,0.1,81,79,6,10.7,2767,2
2026-07-14,31,73,54,15.1,-0.1,82,80,6.5,4.9,2366,3
2026-07-15,32,72,53,15,0.1,80,79,6.3,4.4,3056,3
2026-07-16,24,73,47,14.8,0.1,77,75,6.7,11.7,2727,2
2026-07-17,27,73,50,15.1,0,81,77,5.9,4.2,2353,3
2026-07-18,32,72,56,14.9,0.1,82,82,7.1,6.6,1976,3
2026-07-19,31,71,55,14.5,0,85,84,6.6,6,2216,2
2026-07-20,33,72,48,15.1,0.1,80,79,5.9,7.8,2691,1
2026-07-21,32,71,52,15,0.1,77,73,6.2,7,2944,2
2026-07-22,24,73,42,14.4,-0.1,81,78,6.5,10.5,2641,2
2026-07-23,31,74,51,14.8,-0.1,81,79,6.6,3.9,2990,2
2026-07-24,32,73,55,15.3,0.1,79,77,5.9,4.6,2407,1
2026-07-25,28,72,52,14.6,0.1,83,81,6.5,5.9,2078,2
2026-07-26,27,73,51,14.9,-0.1,82,80,6.8,6.1,2252,2
2026-07-27,30,72,48,14.7,-0.3,82,81,6.1,5.2,3063,2
2026-07-28,24,73,44,14.9,-0.1,80,77,6,9.8,2692,3
2026-07-29,26,72,49,15,-0.2,78,76,6.5,6.2,2603,2
2026-07-30,29,70,51,14.9,-0.1,80,76,5.7,2.8,2753,2
2026-07-31,26,71,42,14.6,0,76,73,6.2,9.5,2758,2
2026-08-01,29,72,51,15.1,0,83,81,7,4.8,2504,1
2026-08-02,36,71,50,14.8,-0.1,80,77,7.1,5.9,2368,3
