date,hrv,rhr,recovery,respiratory_rate,skin_temp_deviation,sleep_efficiency,sleep_performance,sleep_hours,day_strain,steps,wake_ups
2026-07-04,28,70,42,16.5,0.2,81,81,6.8,12.7,2864,4
2026-07-05,28,69,34,16.5,0,81,77,6.8,13.1,3201,4
2026-07-06,28,69,43,16.6,-0.1,79,79,6,10.3,4742,3
2026-07-07,26,71,32,16,0.1,76,75,6.3,14.1,4543,4
2026-07-08,30,70,46,16.9,0,79,78,6.1,12.6,4666,4
2026-07-09,26,70,40,16.7,0,78,76,6,9.1,4250,4
2026-07-10,20,72,29,16.5,-0.1,75,74,5.9,16.5,5264,3
2026-07-11,32,69,41,16.8,-0.1,83,82,6.8,13.4,3986,4
2026-07-12,25,70,37,16.2,-0.1,81,79,6.8,13.1,3932,3
2026-07-13,27,69,36,16.4,0,78,77,6.2,16.8,4344,3
2026-07-14,26,70,40,16.9,0,79,78,5.6,13.7,4694,3
2026-07-15,31,71,37,16.6,0,78,79,5.7,9.6,4415,4
2026-07-16,22,68,34,16.5,-0.1,76,72,6,14,4668,4
2026-07-17,26,68,39,16,0.2,77,76,6.1,9.1,3758,3
2026-07-18,27,70,38,16.3,-0.2,83,81,6.5,12.1,4260,4
2026-07-19,28,69,40,16.9,-0.1,81,81,6.4,13.7,3771,4
2026-07-20,28,70,34,16.2,-0.2,78,75,5.8,10.3,5149,4
2026-07-21,27,69,40,16.7,0,79,78,6.1,10.6,4883,3
2026-07-22,22,70,30,16.6,0,80,79,6.3,15.3,4082,4
2026-07-23,33,71,39,16.3,-0.2,77,75,6.1,10.3,4011,3
2026-07-24,28,68,44,16.6,0.2,76,75,5.6,13.2,4308,3
2026-07-25,27,70,37,17.1,0.1,81,81,6.7,12.5,3859,4
2026-07-26,27,70,36,16.8,0,77,75,6.6,11.5,3406,4
2026-07-27,28,69,41,17,0,77,73,6,10.1,3883,3
2026-07-28,22,68,37,16.2,0.2,80,79,6.1,15.7,4681,4
2026-07-29,29,68,42,16.6,0,77,74,5.8,10.6,4509,4
2026-07-30,30,72,41,16.5,0.1,81,78,6,10.4,4707,4
2026-07-31,20,72,28,16.9,0,78,78,5.9,15.7,4213,4
2026-08-01,28,69,41,16.6,0,80,78,6.9,11.6,3945,4
2026-08-02,29,70,46,16,-0.1,84,84,6.8,12.5,3525,4
