date,hrv,rhr,recovery,respiratory_rate,skin_temp_deviation,sleep_efficiency,sleep_performance,sleep_hours,day_strain,steps,wake_ups
2026-07-04,61,56,63,15.5,-0.1,91,90,8.5,13.9,7721,2
2026-07-05,61,55,61,15.1,0.1,93,93,8.2,14,6769,3
2026-07-06,60,55,60,14.7,0.1,85,83,7.3,11.4,8468,2
2026-07-07,56,55,57,15,-0.1,87,85,7.5,16.3,9279,2
2026-07-08,57,53,59,15.8,0,89,90,7.3,11.1,9309,3
2026-07-09,62,53,58,15.2,0,88,86,7.5,12.6,8100,2
2026-07-10,51,54,54,15.5,-0.1,88,88,7.6,18.7,8678,2
2026-07-11,62,55,57,14.8,0,96,94,8.3,13.2,6613,2
2026-07-12,58,52,60,15,0,91,88,8,14,6601,2
2026-07-13,52,54,52,14.9,0,86,83,7.1,19.3,8586,2
2026-07-14,61,52,55,15.1,-0.2,91,93,7.1,10.3,8187,2
2026-07-15,59,54,65,15.6,0,88,84,7.5,11.3,9626,2
2026-07-16,56,52,47,14.8,-0.1,87,86,7.5,18.1,9664,2
2026-07-17,57,56,57,15,0,88,89,7.2,14.3,9798,3
2026-07-18,63,55,61,14.5,0.2,94,92,7.9,13.8,6613,1
2026-07-19,57,54,58,15.2,0,89,87,7.9,14.6,6220,1
2026-07-20,59,53,57,14.8,0.1,90,90,7.3,11.8,9183,3
2026-07-21,61,54,66,14.5,0.1,91,88,7,13.8,7929,2
2026-07-22,53,53,54,15.4,0,88,85,7.8,18.3,9005,2
2026-07-23,47,61,36,14.8,0,83,82,7.9,13.6,9333,4
2026-07-24,48,62,37,15.4,-0.1,84,86,7.6,10.2,8132,4
2026-07-25,44,58,39,14.9,0.1,82,80,7.8,13.1,6282,4
2026-07-26,42,57,42,15,-0.1,90,90,8.4,15.1,7133,4
2026-07-27,45,60,34,14.8,0,86,83,7.8,13,9797,4
2026-07-28,41,60,31,14.7,0,82,78,7.7,19.4,9444,4
2026-07-29,43,61,34,14.8,-0.1,81,81,7.8,12.2,8156,4
2026-07-30,44,61,37,14.8,0,81,80,6.9,12.6,9964,3
2026-07-31,36,61,28,14.9,0,83,81,7.7,18.5,9151,4
2026-08-01,45,59,34,15.4,-0.2,85,80,8.2,12.7,6085,4
2026-08-02,42,62,37,15.5,-0.2,84,81,8.2,15,5503,4
