date,hrv,rhr,recovery,respiratory_rate,skin_temp_deviation,sleep_efficiency,sleep_performance,sleep_hours,day_strain,steps,wake_ups
2026-07-04,47,69,45,14.8,0,91,91,5.3,7.3,1271,3
2026-07-05,47,67,46,15.1,0,89,89,4.6,7.9,1718,3
2026-07-06,45,66,52,15.4,0,80,76,4.2,3.9,1704,3
2026-07-07,41,67,45,14.9,0.1,84,83,4.4,10.9,1729,3
2026-07-08,46,67,51,14.8,0,86,86,4.2,5.1,1829,3
2026-07-09,44,68,46,15.4,0.1,84,82,4.4,7.3,1851,3
2026-07-10,44,67,38,14.9,0,84,80,4.6,11.5,1733,3
2026-07-11,50,69,53,14.9,-0.1,86,85,5.2,7.9,1393,3
2026-07-12,49,66,45,15,0,91,90,4.6,7.6,1362,3
2026-07-13,37,68,39,14.9,0.1,86,82,4.5,11.3,1703,2
2026-07-14,46,71,53,14.8,0,87,86,4.1,3.5,1959,3
2026-07-15,47,68,50,15.2,-0.1,83,80,4.5,5.7,1708,3
2026-07-16,39,67,40,15.1,0.1,83,82,4.6,9.9,2139,3
2026-07-17,48,68,47,15.5,0.1,88,87,4.3,4.4,1970,2
2026-07-18,51,67,48,14.9,0.2,86,83,4.8,8.9,1142,4
2026-07-19,48,68,51,15.5,0.1,84,84,4.7,8.4,1398,3
2026-07-20,45,69,52,15.1,0,82,82,4.2,6.8,1880,3
2026-07-21,49,69,48,15.2,-0.2,82,81,4.6,6.7,1726,3
2026-07-22,42,69,40,15.3,-0.1,82,79,4.6,10.1,1854,3
2026-07-23,46,69,48,14.9,-0.1,83,79,4.4,6.3,1802,3
2026-07-24,48,71,52,15.2,0.2,81,80,4.4,8.1,2035,3
2026-07-25,44,68,52,14.7,0.2,83,81,5.1,5.1,1381,3
2026-07-26,48,67,51,15.1,0.1,84,85,4.8,6.3,1579,3
2026-07-27,44,68,50,14.6,0,83,81,4.2,4.8,1791,4
2026-07-28,42,69,41,14.5,-0.1,85,80,4.3,9.2,1894,3
2026-07-29,46,67,48,15,0.1,82,82,4.5,4.6,1656,3
2026-07-30,49,69,49,15.1,-0.1,86,85,5.1,5.3,1811,3
2026-07-31,41,67,38,14.7,-0.1,84,83,4.2,11.4,1815,3
2026-08-01,46,68,50,14.7,0.1,87,86,4.8,6.5,1401,3
2026-08-02,49,68,48,15.6,0.1,87,86,4.8,6.2,1421,3
