date,hrv,rhr,recovery,respiratory_rate,skin_temp_deviation,sleep_efficiency,sleep_performance,sleep_hours,day_strain,steps,wake_ups
2026-07-04,45,65,57,14.8,0.1,80,80,7.2,10,3668,3
2026-07-05,42,64,53,15,0,84,83,6.8,10.3,4080,2
2026-07-06,39,65,64,15.1,0,74,71,5.4,8,5193,2
2026-07-07,37,65,43,14.6,0,74,71,6,13.4,5141,2
2026-07-08,41,64,58,15.1,-0.1,74,73,5,11.4,5073,3
2026-07-09,46,62,59,14.5,-0.1,78,73,6.8,7.4,5342,2
2026-07-10,33,65,46,15,0,74,72,5.4,13.2,6378,2
2026-07-11,46,64,56,15,0,81,78,6.7,8.4,4383,3
2026-07-12,46,65,60,14.8,0,82,79,7.2,10.3,4381,2
2026-07-13,32,64,55,15.5,0,73,70,4.9,14.3,4969,3
2026-07-14,47,64,62,14.9,0,79,78,6.4,11.1,5558,3
2026-07-15,44,62,60,14.6,-0.1,74,72,5.2,9,5555,3
2026-07-16,39,64,46,14.3,0,80,76,6.5,16.1,5405,2
2026-07-17,37,66,59,14.8,-0.1,69,69,5,9.3,5372,3
2026-07-18,47,63,55,14.6,-0.2,79,78,7,10.5,3922,2
2026-07-19,45,64,60,15.4,-0.1,82,79,6.7,10.9,5090,3
2026-07-20,37,65,63,15.4,0,75,75,5.1,10.5,5585,2
2026-07-21,42,63,55,15.6,0,77,75,6,7.4,4736,2
2026-07-22,35,64,51,14.9,-0.1,74,72,5.4,12.1,5519,2
2026-07-23,44,62,55,15.3,0,74,72,6.7,9,6251,2
2026-07-24,36,63,58,14.9,0,73,72,5,8.1,5345,3
2026-07-25,44,65,61,14.8,-0.1,82,80,7.4,9.3,3597,2
2026-07-26,41,67,55,15.1,0,83,80,7.2,9.1,3853,2
2026-07-27,42,64,58,15.2,-0.1,73,71,5.4,9.8,6009,3
2026-07-28,40,63,52,15.1,0,79,77,6.6,14.2,5306,3
2026-07-29,40,64,62,14.5,0.1,76,72,5,10.2,5815,2
2026-07-30,46,63,60,14.8,0.1,81,81,6.7,8.3,6026,3
2026-07-31,33,66,48,15,0,71,70,5.1,12.4,6200,2
2026-08-01,43,63,59,14.9,0,84,83,7.1,11.8,4857,3
2026-08-02,43,63,59,15,-0.2,83,78,7.4,10.5,4339,2
