date,hrv,rhr,recovery,respiratory_rate,skin_temp_deviation,sleep_efficiency,sleep_performance,sleep_hours,day_strain,steps,wake_ups
2026-07-04,24,85,14,15,-0.1,80,79,6.3,7.2,687,5
2026-07-05,27,86,21,14.8,0.1,79,76,6.4,5,660,5
2026-07-06,28,85,12,15.2,0,75,71,6.1,2.2,938,4
2026-07-07,21,83,11,14.3,0,77,76,5.9,8.3,827,4
2026-07-08,24,83,15,15.1,-0.1,75,75,5.9,3.6,852,4
2026-07-09,26,86,22,14.7,0,79,78,5.4,6.1,1012,4
2026-07-10,18,85,5,14.9,0.2,77,73,6.1,10.1,898,4
2026-07-11,26,83,20,15.6,0,75,72,6.6,7.2,871,4
2026-07-12,29,84,18,15,0,79,76,6.7,7.4,846,5
2026-07-13,23,84,10,15.3,0.2,77,76,5.5,7.6,829,4
2026-07-14,37,74,35,14.9,0.2,72,70,5.7,5.6,2167,3
2026-07-15,39,76,40,15,0,79,76,6.1,2,2293,3
2026-07-16,35,74,35,14.8,0.1,76,76,5.8,8.6,2314,3
2026-07-17,40,75,40,15.3,0,77,76,6,3,2452,2
2026-07-18,41,73,44,15,0.2,81,83,6.5,5.8,2104,2
2026-07-19,41,75,40,15.1,-0.1,82,80,6.9,4.5,1529,3
2026-07-20,40,73,45,15,0.1,77,73,5.7,4,2169,2
2026-07-21,43,71,46,14.6,-0.2,75,73,5.9,2,1925,3
2026-07-22,42,75,41,15.7,0.2,74,73,6.2,9.2,2219,2
2026-07-23,46,76,48,14.8,-0.1,74,75,6.2,2,2386,2
2026-07-24,47,72,47,14.9,0,76,74,6.2,5.1,2219,2
2026-07-25,50,74,44,14.8,0,78,74,6.4,3.8,1715,3
2026-07-26,48,73,53,15.5,0,80,76,6.3,5.4,1647,2
2026-07-27,51,75,53,15.5,-0.2,72,71,6.2,3.6,2176,3
2026-07-28,45,75,41,15.3,0.2,73,69,6.1,8.3,2232,3
2026-07-29,52,74,60,15.2,0,77,75,6.2,2,2155,2
2026-07-30,55,73,63,14.7,0.2,78,77,6,2.3,2294,3
2026-07-31,48,72,50,14.4,0,78,74,5.6,10.2,2066,3
2026-08-01,57,74,57,15,-0.1,79,79,6.3,5.6,1580,3
2026-08-02,57,72,58,14.6,0.1,81,81,6.7,3.7,1797,3
